year,semester,course_id,grade
2016,1,010013001,C+
2016,1,010123102,A
2016,1,010123130,A
2016,1,040203111,A
2016,1,040313005,B+
2016,1,040313006,A
2016,1,080103001,C
2016,1,080203901,B+
2016,1,080303505,B+
2016,2,010113010,D+
2016,2,010113011,B
2016,2,010123103,A
2016,2,010403006,A
2016,2,040203112,B
2016,2,040313007,C
2016,2,040313008,A
2016,2,080103002,C+
2016,2,080303501,B
2017,1,010123105,C+
2017,1,010123106,B
2017,1,010123107,D+
2017,1,010123108,B+
2017,1,010123131,A
2017,1,010123133,B+
2017,1,040313016,A
2017,1,080303606,B
2017,2,010123114,C+
2017,2,010123126,B
2017,2,010123129,B+
2017,2,010123132,B
2017,2,010123134,A
2017,2,040203100,A
2017,2,040313017,A
2018,1,010123115,B+
2018,1,010123116,C+
2018,1,010123117,C+
2018,1,010123119,B+
2018,1,010123127,B+
2018,1,030943131,A
2018,1,040313018,B
2018,1,080103034,B
